Format Version,1.23,Take Name,Take 2020-08-18 09.00.32 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-18 09.00.32.848 下午,Total Frames in Take,4607,Total Exported Frames,4607,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004617,0.052412,-0.002976,-0.998611,-0.397560,1.580830,-0.938017,0.000961,-0.331404,1.548326,-0.976412,0.803500,-0.350837,1.606211,-0.953322,0.709127,-0.510439,1.587952,-0.884317,0.903607,-0.000861,-0.007422,0.001250,-0.999971,-0.397302,1.320811,-0.914409,0.000507,-0.380472,1.329098,-0.925494,0.868235,-0.413706,1.337110,-0.914618,0.823017,-0.397729,1.296224,-0.903113,0.961250,-0.400907,1.404576,-0.932730,0.854753,-0.177825,0.819357,-2.985614,0.774547,-0.331300,1.549110,-0.976269,-0.351358,1.605156,-0.953341,-0.510096,1.588120,-0.884434,-0.380094,1.328624,-0.925371,-0.413817,1.337108,-0.914338,-0.397817,1.296269,-0.903334,-0.401066,1.404997,-0.932907,,,
7,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004367,0.052354,-0.003022,-0.998614,-0.397556,1.580835,-0.938013,0.000922,-0.331403,1.548317,-0.976399,0.799194,-0.350836,1.606211,-0.953336,0.706002,-0.510429,1.587977,-0.884303,0.900280,-0.000879,-0.007258,0.000996,-0.999973,-0.397298,1.320797,-0.914409,0.000499,-0.380468,1.329093,-0.925488,0.845252,-0.413710,1.337088,-0.914624,0.924541,-0.397715,1.296210,-0.903115,0.939467,-0.400939,1.404561,-0.932729,0.878966,-0.176882,0.819537,-2.985562,0.000000,-0.331267,1.549091,-0.976273,-0.351362,1.605152,-0.953353,-0.510114,1.588153,-0.884405,-0.380094,1.328625,-0.925361,-0.413840,1.337086,-0.914340,-0.397791,1.296267,-0.903343,-0.401085,1.404961,-0.932902,,,
8,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004450,0.052350,-0.003016,-0.998614,-0.397550,1.580826,-0.938015,0.000940,-0.331397,1.548314,-0.976407,0.800710,-0.350831,1.606205,-0.953335,0.707295,-0.510423,1.587960,-0.884303,0.903575,0.000170,0.000218,-0.000644,-1.000000,-0.397260,1.320785,-0.914549,0.000748,-0.380293,1.329113,-0.925393,0.867377,-0.413720,1.337021,-0.915043,0.819012,-0.397766,1.296220,-0.903210,0.960068,-0.400900,1.404498,-0.933098,0.867653,-0.144259,0.815977,-2.981110,0.769679,-0.331282,1.549091,-0.976271,-0.351347,1.605155,-0.953353,-0.510094,1.588129,-0.884413,-0.380090,1.328624,-0.925387,-0.413801,1.337125,-0.914331,-0.397814,1.296334,-0.903311,-0.401074,1.404968,-0.932928,-0.144144,0.815745,-2.981994
9,0.075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004408,0.052408,-0.003053,-0.998611,-0.397545,1.580834,-0.938015,0.000934,-0.331386,1.548323,-0.976397,0.797827,-0.350826,1.606215,-0.953331,0.705981,-0.510425,1.587965,-0.884317,0.907056,-0.000739,-0.007544,0.001272,-0.999970,-0.397309,1.320809,-0.914405,0.000498,-0.380481,1.329093,-0.925496,0.843250,-0.413712,1.337109,-0.914615,0.926904,-0.397734,1.296225,-0.903104,0.940184,-0.400914,1.404570,-0.932747,0.881740,-0.178358,0.818840,-2.985542,0.000000,-0.331266,1.549111,-0.976260,-0.351333,1.605154,-0.953357,-0.510110,1.588133,-0.884421,-0.380101,1.328609,-0.925375,-0.413819,1.337122,-0.914343,-0.397822,1.296272,-0.903322,-0.401078,1.404980,-0.932916,,,
10,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004486,0.052548,-0.003069,-0.998604,-0.397547,1.580820,-0.938037,0.000946,-0.331375,1.548318,-0.976405,0.798768,-0.350824,1.606205,-0.953336,0.707788,-0.510442,1.587938,-0.884369,0.904031,-0.000868,-0.007836,0.001253,-0.999968,-0.397287,1.320824,-0.914412,0.000484,-0.380466,1.329111,-0.925511,0.844238,-0.413691,1.337124,-0.914609,0.927545,-0.397705,1.296237,-0.903117,0.936055,-0.400907,1.404589,-0.932730,0.890432,-0.179524,0.819401,-2.985806,0.000000,-0.331268,1.549103,-0.976263,-0.351332,1.605152,-0.953360,-0.510114,1.588104,-0.884480,-0.380082,1.328634,-0.925400,-0.413787,1.337126,-0.914335,-0.397806,1.296318,-0.903338,-0.401070,1.404965,-0.932886,,,
11,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004292,0.052323,-0.003036,-0.998616,-0.397544,1.580840,-0.938018,0.000930,-0.331393,1.548317,-0.976404,0.802181,-0.350826,1.606215,-0.953349,0.705489,-0.510414,1.587988,-0.884303,0.904074,0.000160,0.000251,-0.000565,-1.000000,-0.397267,1.320765,-0.914554,0.000737,-0.380298,1.329091,-0.925397,0.873992,-0.413724,1.337004,-0.915049,0.817106,-0.397778,1.296199,-0.903216,0.956585,-0.400893,1.404479,-0.933102,0.860275,-0.144207,0.815960,-2.981110,0.776181,-0.331264,1.549088,-0.976275,-0.351354,1.605162,-0.953362,-0.510090,1.588162,-0.884410,-0.380095,1.328630,-0.925384,-0.413829,1.337112,-0.914334,-0.397808,1.296267,-0.903374,-0.401061,1.404971,-0.932897,-0.144095,0.815730,-2.981968
12,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.331272,1.549111,-0.976259,-0.351321,1.605152,-0.953365,-0.510105,1.588123,-0.884411,-0.380070,1.328649,-0.925373,-0.413785,1.337136,-0.914333,-0.397790,1.296254,-0.903372,-0.401051,1.404994,-0.932893,,,
13,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004721,0.052517,-0.002906,-0.998605,-0.397538,1.580826,-0.938045,0.000928,-0.331378,1.548323,-0.976433,0.802344,-0.350808,1.606205,-0.953335,0.709343,-0.510427,1.587952,-0.884367,0.905037,0.000172,0.000221,-0.000608,-1.000000,-0.397236,1.320797,-0.914534,0.000763,-0.380268,1.329125,-0.925378,0.865076,-0.413694,1.337035,-0.915029,0.822972,-0.397744,1.296232,-0.903196,0.962947,-0.400870,1.404511,-0.933084,0.856528,-0.144260,0.815962,-2.981092,0.766548,-0.331259,1.549093,-0.976299,-0.351322,1.605162,-0.953354,-0.510104,1.588121,-0.884474,-0.380070,1.328623,-0.925369,-0.413762,1.337142,-0.914332,-0.397790,1.296329,-0.903298,-0.401056,1.405020,-0.932894,-0.144144,0.815724,-2.981987
14,0.116667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004457,0.052527,-0.003050,-0.998605,-0.397539,1.580830,-0.938039,0.000944,-0.331371,1.548323,-0.976408,0.798638,-0.350816,1.606212,-0.953342,0.709673,-0.510432,1.587955,-0.884367,0.904896,-0.000884,-0.007750,0.001177,-0.999969,-0.397275,1.320827,-0.914416,0.000481,-0.380453,1.329117,-0.925512,0.846734,-0.413682,1.337124,-0.914614,0.924538,-0.397691,1.296239,-0.903122,0.936176,-0.400904,1.404592,-0.932732,0.889359,-0.179081,0.819502,-2.985788,0.000000,-0.331267,1.549109,-0.976264,-0.351316,1.605164,-0.953367,-0.510106,1.588119,-0.884477,-0.380082,1.328647,-0.925380,-0.413792,1.337140,-0.914334,-0.397775,1.296297,-0.903356,-0.401060,1.404970,-0.932901,,,
15,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004495,0.052360,-0.002998,-0.998614,-0.397535,1.580832,-0.938022,0.000941,-0.331382,1.548322,-0.976416,0.798674,-0.350815,1.606211,-0.953339,0.708942,-0.510409,1.587964,-0.884312,0.905265,0.000171,0.000220,-0.000653,-1.000000,-0.397233,1.320779,-0.914533,0.000730,-0.380267,1.329108,-0.925377,0.869637,-0.413693,1.337015,-0.915028,0.824133,-0.397739,1.296214,-0.903195,0.961345,-0.400875,1.404492,-0.933083,0.861902,-0.144213,0.815972,-2.981093,0.778712,-0.331276,1.549107,-0.976274,-0.351316,1.605161,-0.953364,-0.510085,1.588129,-0.884421,-0.380068,1.328626,-0.925378,-0.413790,1.337124,-0.914340,-0.397770,1.296302,-0.903318,-0.401045,1.404978,-0.932882,-0.144102,0.815746,-2.981942
