1586433373830248617,1,2,0,2048,2048,2048
1586433373893437607,1,2,0,2048,2048,2048
1586433374021691357,1,2,0,2048,2048,2048
1586433374149318916,1,2,0,2048,2048,2048
1586433374213748925,1,2,0,2048,2048,2048
1586433374341398608,1,2,0,2048,2048,2048
1586433374405336625,1,2,0,2048,2048,2048
1586433374533018077,1,2,0,2048,2048,2048
1586433374597199225,1,2,0,2048,2048,2048
1586433374725618886,1,2,0,2048,2048,2048
1586433374789477101,1,2,0,2048,2048,2048
1586433374917552211,1,2,0,2048,2048,2048
1586433375045828534,1,2,0,2048,2048,2048
1586433375109474180,1,2,0,2048,2048,2048
1586433375237537810,1,2,0,2048,2048,2048
1586433375301461359,1,2,0,2048,2048,2048
1586433375429546992,1,2,0,2048,2048,2048
1586433375493584998,1,2,0,2048,2048,2048
1586433375621645449,1,2,0,2048,2048,2048
1586433375749593461,1,2,0,2048,2048,2048
1586433375813599895,1,2,0,2048,2048,2048
1586433375940913787,1,2,0,2048,2048,2048
1586433376004990198,1,2,0,2048,2048,2048
1586433376132976892,1,2,0,2048,2048,2048
1586433376196963325,1,2,0,2048,2048,2048
1586433376325002764,1,2,0,2048,2048,2048
1586433376388952571,1,2,0,2048,2048,2048
1586433376516943623,1,2,0,2048,2048,2048
1586433376644919303,1,2,0,2048,2048,2048
1586433376708926226,1,2,0,2048,2048,2048
1586433376836987677,1,2,0,2048,2048,2048
1586433376900953753,1,2,0,2048,2048,2048
1586433377029041198,1,2,0,2048,2048,2048
1586433377093475791,1,2,0,2048,2048,2048
1586433377222599832,1,2,0,2048,2048,2048
1586433377349531424,1,2,0,2048,2048,2048
1586433377413561244,1,2,0,2048,2048,2048
1586433377541529403,1,2,0,2048,2048,2048
1586433377605440201,1,2,0,2048,2048,2048
1586433377733697940,1,2,0,2048,2048,2048
1586433377797620776,1,2,0,2048,2048,2048
1586433377925489033,1,2,0,2048,2048,2048
1586433378055145225,1,2,0,2048,2048,2048
1586433378117206709,1,2,0,2143,2148,2148
1586433378246695807,1,2,0,2142,2147,2147
1586433378310419998,1,2,0,2142,2147,2147
1586433378437876783,1,2,0,2142,2147,2147
1586433378501776851,1,2,0,2142,2147,2147
1586433378629864992,1,2,0,2141,2146,2146
1586433378693906624,1,2,0,2140,2145,2145
1586433378821842117,1,2,0,2138,2143,2143
1586433378950824903,1,2,0,2136,2140,2140
1586433379014213671,1,2,0,2134,2139,2139
1586433379142064781,1,2,0,2131,2135,2135
1586433379205982275,1,2,0,2129,2133,2133
1586433379334651003,1,2,0,2125,2129,2129
1586433379397882803,1,2,0,2123,2127,2127
1586433379525809971,1,2,0,2118,2121,2121
