1601050428085550196,1,4,2,3,0,0,0,0,0,0
1601050428196539031,1,4,2,3,0,0,0,0,0,0
1601050428308482476,1,4,2,3,0,0,0,0,0,0
1601050428420449192,1,4,2,3,0,0,0,0,0,0
1601050428532507081,1,4,2,3,0,0,0,0,0,0
1601050428644463087,1,4,2,3,0,0,0,0,0,0
1601050428756461566,1,4,2,3,0,0,0,0,0,0
1601050428868465450,1,4,2,3,0,0,0,0,0,0
1601050428980569661,1,4,2,3,0,0,0,0,0,0
1601050429092435473,1,4,2,3,0,0,0,0,0,0
1601050429206299372,1,4,2,3,0,0,0,0,0,0
1601050429316530348,1,4,2,3,0,0,0,0,0,0
1601050429428807602,1,4,2,3,0,0,0,0,0,0
1601050429541131492,1,4,2,3,0,0,0,0,0,0
1601050429653055610,1,4,2,3,0,0,0,0,0,0
1601050429765204558,1,4,2,3,0,0,0,0,0,0
1601050429877364435,1,4,2,3,0,0,0,0,0,0
1601050429989087863,1,4,2,3,0,0,0,0,0,0
1601050430101131704,1,4,2,3,0,0,0,0,0,0
1601050430213236722,1,4,2,3,0,0,0,0,0,0
1601050430325212705,1,4,2,3,0,0,0,0,0,0
1601050430436707609,1,4,2,3,0,0,0,0,0,0
1601050430613253929,1,4,2,3,0,0,0,0,0,0
1601050430725111607,1,4,2,3,0,0,0,0,0,0
1601050430837316484,1,4,2,3,0,0,0,0,0,0
1601050430949239555,1,4,2,3,0,0,0,0,0,0
1601050431060471969,1,4,2,3,0,-14,-16,7,-33,5
1601050431172683823,1,4,2,3,0,-55,-40,4,-80,-24
1601050431285061660,1,4,2,3,0,-55,-40,4,-80,-24
1601050431397105983,1,4,2,3,0,-109,-51,-26,-89,-109
1601050431509090481,1,4,2,3,0,-175,-58,-68,-88,-222
1601050431621117135,1,4,2,3,0,-175,-58,-68,-88,-222
1601050431733415606,1,4,2,3,0,-238,-65,-103,-93,-319
1601050431844972180,1,4,2,3,0,-302,-70,-136,-99,-416
1601050431957069777,1,4,2,3,0,-302,-70,-136,-99,-416
1601050432069306453,1,4,2,3,0,-368,-75,-170,-106,-513
1601050432181071124,1,4,2,3,0,-435,-78,-203,-113,-608
1601050432293119578,1,4,2,3,0,-435,-78,-203,-113,-608
1601050432405219810,1,4,2,3,0,-503,-81,-235,-121,-703
1601050432517230504,1,4,2,3,0,-572,-82,-266,-130,-796
1601050432629208823,1,4,2,3,0,-572,-82,-266,-130,-796
1601050432741230437,1,4,2,3,0,-642,-83,-298,-140,-889
1601050432852990871,1,4,2,3,0,-712,-83,-328,-150,-980
1601050432965081232,1,4,2,3,0,-712,-83,-328,-150,-980
1601050433077124402,1,4,2,3,0,-782,-83,-359,-161,-1070
1601050433189009305,1,4,2,3,0,-853,-82,-389,-174,-1159
1601050433300374215,1,4,2,3,0,-853,-82,-389,-174,-1159
1601050433412964080,1,4,2,3,0,-924,-81,-419,-186,-1247
1601050433525063705,1,4,2,3,0,-994,-80,-448,-200,-1333
1601050433637078889,1,4,2,3,0,-994,-80,-448,-200,-1333
1601050433749282031,1,4,2,3,0,-1065,-79,-478,-215,-1418
1601050433861136721,1,4,2,3,0,-1135,-77,-507,-231,-1502
1601050433973194658,1,4,2,3,0,-1135,-77,-507,-231,-1502
1601050434085115092,1,4,2,3,0,-1204,-75,-536,-247,-1584
1601050434196966854,1,4,2,3,0,-1273,-73,-565,-265,-1665
1601050434309009910,1,4,2,3,0,-1273,-73,-565,-265,-1665
1601050434421288919,1,4,2,3,0,-1341,-72,-594,-283,-1745
1601050434533064318,1,4,2,3,0,-1408,-70,-622,-302,-1822
1601050434645054771,1,4,2,3,0,-1408,-70,-622,-302,-1822
1601050434756936459,1,4,2,3,0,-1474,-69,-651,-322,-1899
1601050434868968997,1,4,2,3,0,-1539,-68,-679,-343,-1973
1601050434980957765,1,4,2,3,0,-1539,-68,-679,-343,-1973
1601050435093135832,1,4,2,3,0,-1603,-67,-708,-365,-2046
1601050435205057017,1,4,2,3,0,-1665,-67,-736,-387,-2116
1601050435317321356,1,4,2,3,0,-1665,-67,-736,-387,-2116
1601050435429026441,1,4,2,3,0,-1727,-67,-765,-411,-2185
1601050435541065941,1,4,2,3,0,-1786,-67,-793,-435,-2253
1601050435652921657,1,4,2,3,0,-1786,-67,-793,-435,-2253
1601050435764996396,1,4,2,3,0,-1844,-68,-821,-460,-2319
1601050435876890890,1,4,2,3,0,-1900,-69,-850,-486,-2382
1601050435989019881,1,4,2,3,0,-1900,-69,-850,-486,-2382
1601050436101354413,1,4,2,3,0,-1955,-70,-878,-512,-2444
1601050436212932329,1,4,2,3,0,-2007,-73,-907,-539,-2504
1601050436324572704,1,4,2,3,0,-2007,-73,-907,-539,-2504
1601050436436874471,1,4,2,3,0,-2057,-75,-935,-567,-2562
1601050436549081259,1,4,2,3,0,-2106,-79,-963,-596,-2618
1601050436660944992,1,4,2,3,0,-2106,-79,-963,-596,-2618
1601050436772924751,1,4,2,3,0,-2153,-83,-992,-625,-2673
1601050436885004727,1,4,2,3,0,-2198,-87,-1020,-655,-2724
1601050436997103605,1,4,2,3,0,-2198,-87,-1020,-655,-2724
1601050437108897821,1,4,2,3,0,-2240,-92,-1048,-685,-2774
1601050437220527079,1,4,2,3,0,-2281,-98,-1077,-716,-2822
1601050437333840769,1,4,2,3,0,-2281,-98,-1077,-716,-2822
1601050437445029194,1,4,2,3,0,-2315,-103,-1101,-742,-2862
1601050437557427951,1,4,2,3,0,-2355,-112,-1133,-779,-2911
1601050437668857834,1,4,2,3,0,-2355,-112,-1133,-779,-2911
